,Prediction
0,4364319.069925571
1,3827110.88881996
2,3554133.180369103
3,3441549.151266205
4,3513271.7670367784
5,4188684.288975738
6,4586220.540679318
7,4244910.04668182
8,5032790.337736997
9,3928914.4233633163
10,4198474.650536328
11,3341231.51162198
12,4082356.308571148
13,4496964.924255657
14,4208314.726017794
15,3581428.948984961
16,5058709.0987111265
17,3885638.0276448317
18,3612381.154123429
19,3857263.046586621
20,4033656.9019878656
21,4970092.963732856
22,4673593.825157414
23,4612961.575933672
24,4244488.496194096
25,3201671.8002261454
26,3201189.496396662
27,4791494.2221975
28,4725803.581692156
29,3927460.642219915
30,5105359.75608367
31,3553315.311209344
32,3550366.574002485
33,4217595.891640627
34,3854877.1324254875
35,4203524.927688815
36,4353686.5990652535
37,3964707.1920087114
38,3240514.197282235
39,3923769.6777504496
40,4053608.1419411404
41,3830116.041962832
42,4927408.4237961285
43,4275371.557872121
44,4646344.937471375
45,4301078.838128133
46,3164677.734812876
47,3467740.3390305596
48,4983648.864857566
49,4315280.4681913555
50,4580107.509570143
51,4376969.776565478
52,3575415.018571158
53,3414798.610100748
54,3640691.4806560846
55,4164869.837982645
56,4661605.525103006
57,4664437.060855255
58,5337669.392194542
59,5024840.474269981
60,3901286.904439119
61,4654012.842785737
62,3944719.0476764836
63,3626772.1855465476
64,4701116.688240638
65,5877619.41298501
66,5156478.5465860125
67,5146743.980193632
68,4973549.285429274
69,4220007.267946931
70,3259846.5614630096
71,3916769.0753383907
72,3826803.4891510694
73,4729559.841475228
74,5617330.253753597
75,4558642.397835945
76,4333547.770323973
77,4625042.783999132
78,4956213.983185083
79,3961272.9459831323
80,5354998.720844604
81,3579918.3292330187
82,4377402.634035611
83,4590475.596518798
84,5850473.514524382
85,3130363.1530394135
86,4224130.67925628
87,3861821.2364900396
88,4339961.864310515
89,4754216.454359361
90,4436601.960609741
91,4588463.682964113
92,3590256.9503442515
93,4680646.283195553
94,5324329.060977415
95,3913353.9299914637
96,3867649.85305335
97,3836244.90264958
98,4199802.805335444
99,4628880.82437339
100,4580803.897280055
101,3130019.232222207
102,4675071.694276318
103,4086440.450686247
104,4631070.760958759
105,3519510.009979947
106,4354136.3638894195
107,4679382.427559472
108,5652613.6354658585
109,3966488.7161341184
110,4629496.088905785
111,3971642.812137528
112,3728121.5629800307
113,4225359.797496115
114,4585408.650322618
115,4873060.357724123
116,3843192.1700813295
117,5045191.854184443
118,3602537.1585111786
119,4841454.625208133
120,5834456.780442546
121,5392416.658120424
122,4171867.895113176
123,5516885.140720775
124,3500053.0556673384
125,3223865.3961380944
126,4815073.311549736
127,4276782.721085394
128,4530803.43285104
129,4206300.6446557185
130,4232184.501935275
131,4192618.0989934728
132,4787962.633002153
133,3601449.4324848577
134,4161709.477263839
135,3981915.1113487394
136,3975219.1717540314
137,3862969.4120566775
138,3936003.127016057
139,4162897.551411758
140,5084356.943653607
141,3943070.529451344
142,4635816.509147471
143,3945116.521441532
144,4070456.857983747
145,3621131.1291181296
146,4162115.876619723
147,3331824.8583179046
148,4711090.593645108
149,4479081.730875246
150,4621687.385561043
151,3613834.2543092887
152,4544259.567463211
153,5828131.206566664
154,4501033.089297915
155,5598175.30639333
156,4703565.35260109
157,3977563.416265738
158,4629427.849616296
159,3898553.0731644924
160,3860054.6352320667
161,4209518.7345116455
162,4167905.690381705
163,4403203.57293558
164,4637452.467947071
165,4320220.298109001
166,3878597.2531023393
167,4631985.205160372
168,3285221.2163171833
169,4002905.017281561
170,3338679.477553487
171,3162512.780783276
172,3873227.550811502
173,4641162.949994466
174,4923498.476444536
175,3608263.2867847662
176,5406178.670849657
177,4986462.2160838675
178,4706083.343010976
179,3519497.0301527726
180,5238064.507465889
181,3279261.153402622
182,4393495.021227115
183,3940939.110596112
184,4148762.020559427
185,3333634.5347705376
186,4206524.836944436
187,4250150.95267442
188,5855279.324086926
189,4602919.4811933385
190,3939605.299722771
191,4965551.656000807
192,4569924.473337586
193,4464516.707641263
194,3574170.413487518
195,5279372.871698201
196,4065408.938451912
197,3478349.6154664834
198,4639597.370327226
199,3650770.281431936
200,4563178.157074236
201,3864128.9709339533
202,4525549.89651917
203,4530494.795152957
204,5125646.886693225
205,5723973.348450927
206,4607014.37837418
207,4724614.556045532
208,4749112.029020933
209,3333922.0521444995
210,5363431.020858929
211,5285966.781667216
212,3997796.727466425
213,3180080.9399377415
214,4655570.745311699
215,3118063.3265591105
216,4809985.737110599
217,4512934.562605241
218,4182405.462231451
219,3555957.6838572966
220,4667236.246789598
221,4604103.93735744
222,4940943.575059595
223,4493996.677912339
224,4160441.4130742988
225,4331714.864948296
226,4367060.358824439
227,5375444.472655317
228,3577945.8251078734
229,3771654.6451942325
230,4936566.909058926
231,5033913.476072875
232,5231276.570546846
233,4435758.348018847
234,3552489.624972864
235,5328107.528791126
236,4581473.38551885
237,3593081.101722868
238,4420195.482589106
239,3607206.2010662686
240,4457989.994460624
241,4402265.250590969
242,3123623.2493556235
243,5203392.412619765
244,4929707.771310724
245,5621863.160442833
246,4879580.089341716
247,5532886.156365529
248,4585340.977313783
249,4032456.2252289318
250,4019692.55193272
251,4283064.13278975
252,5376413.4416845655
253,3804531.4479519166
254,5082324.999277676
255,5042201.884937703
256,3687282.6317316378
257,5063643.965792583
258,3843808.2999639437
259,4599137.069460434
260,3513896.697149743
261,4078728.779556536
262,4229179.441476173
263,4009549.660500245
264,3423121.2309181467
265,5077478.436950954
266,4354574.484767161
267,5020636.865225764
268,4341552.539739582
269,3599737.5785160307
270,3552353.5419250755
271,3988711.7592398636
272,4617113.421686156
273,4417048.164893041
274,3708354.3455800777
275,3982627.296715907
276,5517923.949301697
277,4002269.187537838
278,4610880.122343614
279,4579454.89164467
280,4398619.7091947
281,4718257.899364601
282,3920014.96134438
283,4174090.0016023517
284,3972116.889421924
285,3884021.937525687
286,4976104.720835252
287,4304827.7062540185
288,4026835.0254404983
289,3177231.645807023
290,3942948.4869520017
291,3923341.2879385967
292,3449819.7237069677
293,4130504.4135333737
294,4592712.452251612
295,4555074.99085836
296,4713877.746200743
297,4210959.367193055
298,5004655.747773794
299,5011684.839322032
300,3919397.8915388947
301,4999518.0606634375
302,5750740.950048557
303,4974769.169653232
304,3936649.755083345
305,4985360.56673518
306,4349992.81259534
307,4280863.668763507
308,3498854.741445431
309,3628367.270652307
310,5113760.921458252
311,4585925.07875757
312,3606457.7545988243
313,4668435.07271514
314,3558016.6944315922
315,4606664.708360593
316,3893328.8179083667
317,4588678.173608415
318,5817543.180203829
319,4297611.175282203
320,4662460.8011406455
321,4593356.005460853
322,4281941.991907012
323,4138639.9208805324
324,4965576.167571448
325,3924742.361408245
326,5091361.586862171
327,4209806.764732658
328,3820489.158866712
329,5181229.1966634635
330,3715608.9046490854
331,5018430.033610911
332,5320117.6777668465
333,5524425.033980017
334,4729155.704015678
335,4880891.253645261
336,4103678.4833149277
337,4487816.056204654
338,4632429.363996832
339,3604906.9100781716
340,3943417.9888604665
341,3588609.9286607425
342,4765667.624637634
343,4144674.428422164
344,4583386.787248428
345,3580397.913433634
346,4175972.253280425
347,4801940.20254377
348,4301799.316728753
349,4522673.82756392
350,4233786.122982789
351,4130407.098073248
352,5040970.343289417
353,3844319.348996267
354,3581686.8979253955
355,3913748.611471367
356,4772204.852810526
357,3509301.049626979
358,5335821.156336435
359,5874113.91466419
360,4410560.989848927
361,4514410.071260452
362,4288684.444887038
363,4668493.4928112235
364,5063674.578323378
365,4287568.861009635
366,3988765.4117951635
367,4590403.309062637
368,4603967.007382782
369,4245722.152907432
370,4779257.47889891
371,4759958.4677339895
372,4583046.265675575
373,5105930.214233036
374,5038340.352868079
375,3638005.5449218294
376,4547354.133863626
377,3963271.955011422
378,5025052.127007573
379,4253758.936176201
380,5161625.651298487
381,3360013.4753392334
382,3548762.7289725174
383,4738944.105048742
384,4708937.52886752
385,5410400.438413962
386,4307058.101212052
387,5500704.740158183
388,4091027.509549746
389,3964418.1112007834
390,4184423.3809545333
391,4325267.11969694
392,3849752.2272706507
393,4383461.386819058
394,4303691.273562318
395,4576863.029902477
396,5041999.493330938
397,4189933.9424346252
398,4347501.053465914
399,5053819.130060257
400,4164592.7386935186
401,3785087.6299880515
402,3878191.851757696
403,5051654.902812651
404,3646584.9532900485
405,3916077.5826219246
406,5319759.698954764
407,3684167.316746105
408,3053838.440293656
409,3240378.4373959685
410,3970535.7705365415
411,4636402.9565346185
412,4695169.625816041
413,5121516.646738028
414,4299851.848927945
415,5050176.443971357
416,5794470.399922122
417,3876733.5802446967
418,4168181.705609747
419,3989280.032949196
420,4406661.471707207
421,4226827.557384155
422,4585269.005963788
423,3712984.033122061
424,4202108.864848631
425,3596645.807421948
426,3853112.848381137
427,3171044.89221191
428,4205533.409258783
429,3195072.598952869
430,4335276.872308623
431,4253277.443501587
432,3518537.7403317755
433,5082196.511592121
434,4544491.397168258
435,5008210.095144973
436,3516660.8644857025
437,3370127.951820113
438,3956946.562848817
439,5571887.03158454
440,4177784.345855815
441,4965028.261499302
442,4654790.3172023
443,4977273.285551006
444,4928628.562033431
445,3460469.046937355
446,5935458.3195206
447,4931197.055323904
448,4531643.5895287255
449,5223061.925835719
450,4967861.25315904
451,4004269.8345011976
452,3875855.6586365844
453,5031126.316753364
454,4682425.527165092
455,4112336.350458527
456,3895305.379999152
457,4712393.610279279
458,5298676.574886251
459,3201502.0998358754
460,4183704.227892029
461,5095193.974601024
462,5317055.991849986
463,3901615.023054235
464,4418104.931903884
465,3983000.959926881
